"","Reporting.Year","Reporting.Quarter","Reporting.Organization","Certified.Type","County","Certified.Capacity","Operational.Capacity","Beginning.Census","End.Census","Male.Census","Female.Census"
"1",2018,4,"305 West End Assisted Living","S","New York",60,60,4,22,6,16
"2",2018,4,"Absolut at Orchard Brooke, LLC","F","Erie",80,80,75,76,23,53
"3",2018,4,"Adirondack Manor HFA D.B.A Adirondack Manor HFA ALP","F","Warren",60,60,47,55,27,28
"4",2018,4,"Adirondack Manor HFA D.B.A Montcalm Manor HFA","F","Essex",40,40,36,40,19,21
"5",2018,4,"Adirondack Manor HFA D.B.A Scotia Mansion","F","Schenectady",49,49,37,43,26,17
"6",2018,4,"Adirondack Manor HFA D.B.A. Willow Park HFA","F","Oneida",60,60,56,60,37,23
"7",2018,4,"Adirondack Manor Home for Adults","F","Oneida",40,40,37,38,25,13
"8",2018,4,"Ahana House","E","Saratoga",17,17,13,13,9,4
"9",2018,4,"Alice Hyde Assisted Living Program","E","Franklin",30,30,29,29,6,23
"10",2018,4,"Alma Rangel Gardens NY Foundation EHP#7","S","New York",42,41,42,41,16,25
"11",2018,4,"Alpine Manor","F","Livingston",41,36,23,27,6,21
"12",2018,4,"Amber Court of Brooklyn","F","Kings",224,216,212,213,141,72
"13",2018,4,"Amber Court of Pelham Gardens","F","Bronx",200,200,191,198,100,98
"14",2018,4,"Amber Court of Smithtown","F","Suffolk",186,186,165,173,34,139
"15",2018,4,"Amber Court of Westbury","F","Nassau",225,225,171,181,29,152
"16",2018,4,"Amber Court of Westbury","F","Nassau",64,64,53,58,16,42
"17",2018,4,"Apple Gate Adult Home","F","Orleans",28,28,14,15,5,10
"18",2018,4,"Arcadia Residence","F","Sullivan",114,114,99,99,75,24
"19",2018,4,"Argyle Center For Independent Living","F","Washington",35,35,34,34,16,18
"20",2018,4,"Arkell Hall","E","Montgomery",24,24,23,21,0,21
"21",2018,4,"Ashton Place","S","Ontario",60,60,23,21,8,13
